data;vxewz
18-mai-16;44.05
17-mai-16;43.64
16-mai-16;43.4
13-mai-16;44.1
12-mai-16;40.81
11-mai-16;41.43
10-mai-16;42.03
9-mai-16;45.53
6-mai-16;43.09
5-mai-16;43.2
4-mai-16;42.73
3-mai-16;44.3
2-mai-16;43.09
29-abr-16;40.81
28-abr-16;40.26
27-abr-16;40.27
26-abr-16;40.72
25-abr-16;43.41
22-abr-16;42.55
21-abr-16;44.24
20-abr-16;44.3
19-abr-16;44.69
18-abr-16;47.77
15-abr-16;55.43
14-abr-16;52.41
13-abr-16;55.63
12-abr-16;57.79
11-abr-16;58.05
8-abr-16;53.93
7-abr-16;53.18
6-abr-16;56.59
5-abr-16;57.2
4-abr-16;55.37
1-abr-16;50.94
31-mar-16;51.49
30-mar-16;50.02
29-mar-16;52.2
28-mar-16;54.48
24-mar-16;53.71
23-mar-16;52.19
22-mar-16;48.63
21-mar-16;49.76
18-mar-16;51.96
17-mar-16;54.7
16-mar-16;52.93
15-mar-16;54.26
14-mar-16;50.68
11-mar-16;51.17
10-mar-16;51.78
9-mar-16;52.16
8-mar-16;53.03
7-mar-16;52.37
4-mar-16;53.09
3-mar-16;49
2-mar-16;46.83
1-mar-16;46.97
29-fev-16;48.48
26-fev-16;48.26
25-fev-16;48.18
24-fev-16;49.04
23-fev-16;47.21
22-fev-16;46.92
19-fev-16;48.05
18-fev-16;49.74
17-fev-16;51.26
16-fev-16;52.07
12-fev-16;53.1
11-fev-16;55.61
10-fev-16;53
9-fev-16;56.35
8-fev-16;55.7
5-fev-16;52.72
4-fev-16;50.94
3-fev-16;50.97
2-fev-16;49.19
1-fev-16;44.99
29-jan-16;42.95
28-jan-16;45.25
27-jan-16;46.09
26-jan-16;48.86
25-jan-16;50.97
22-jan-16;49.31
21-jan-16;52.29
20-jan-16;51.09
19-jan-16;49.56
15-jan-16;49.81
14-jan-16;45.18
13-jan-16;46.32
12-jan-16;46.1
11-jan-16;46.04
8-jan-16;47.42
7-jan-16;47.33
6-jan-16;45.43
5-jan-16;45.14
4-jan-16;46.92
31-dez-15;43.79
30-dez-15;43.55
29-dez-15;41.62
28-dez-15;42.88
24-dez-15;41.4
23-dez-15;42.1
22-dez-15;45.12
21-dez-15;49.3
18-dez-15;50.07
17-dez-15;48.09
16-dez-15;48.42
15-dez-15;50.56
14-dez-15;54.39
11-dez-15;54.01
10-dez-15;50.05
9-dez-15;48.1
8-dez-15;49.56
7-dez-15;46.1
4-dez-15;45
3-dez-15;45.72
2-dez-15;47.68
1-dez-15;46.2
30-nov-15;45.98
27-nov-15;43.22
25-nov-15;42.73
24-nov-15;40.15
23-nov-15;40.62
20-nov-15;40.71
19-nov-15;40.41
18-nov-15;42.29
17-nov-15;44.88
16-nov-15;45.75
13-nov-15;46.71
12-nov-15;45.55
11-nov-15;44.28
10-nov-15;44.01
9-nov-15;43.67
6-nov-15;41.63
